"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Years","4","1"
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Years","4","1"
"Afghanistan","Male","2004","UNESCO_UIS Database_Sep2007","Years","9","1"
"Afghanistan","Male","2003","UNESCO_UIS Database_Sep2007","Years","8","1"
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Years","12","1"
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Years","11",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Male","2004","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Male","2003","UNESCO_UIS Database_Sep2007","Years","11",""
"Albania","Male","2002","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Male","2001","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Male","2000","UNESCO_UIS Database_Sep2007","Years","11","1"
"Albania","Male","1999","UNESCO_UIS Database_Sep2007","Years","11","1"
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Years","13","1"
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Years","13","1"
"Algeria","Male","2005","UNESCO_UIS Database_Sep2007","Years","13","1"
"Algeria","Male","2004","UNESCO_UIS Database_Sep2007","Years","13","1"
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Male","2005","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Male","2004","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Male","2003","UNESCO_UIS Database_Sep2007","Years","11","2"
"Andorra","Male","2002","UNESCO_UIS Database_Sep2007","Years","11","2"
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Years","3","1"
"Angola","Male","1999","UNESCO_UIS Database_Sep2007","Years","4","1"
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Years","13","1"
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Years","14","1"
"Anguilla","Male","2005","UNESCO_UIS Database_Sep2007","Years","11","1"
"Anguilla","Male","2004","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Male","2003","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Male","2002","UNESCO_UIS Database_Sep2007","Years","12","1"
"Anguilla","Male","2001","UNESCO_UIS Database_Sep2007","Years","13","1"
"Anguilla","Male","2000","UNESCO_UIS Database_Sep2007","Years","13","1"
"Argentina","Female","2004","UNESCO_UIS Database_Sep2007","Years","16",""
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Years","16",""
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Years","17",""
"Argentina","Female","2001","UNESCO_UIS Database_Sep2007","Years","17",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Years","16","1"
"Argentina","Female","1999","UNESCO_UIS Database_Sep2007","Years","16","1"
"Argentina","Male","2004","UNESCO_UIS Database_Sep2007","Years","15",""
"Argentina","Male","2003","UNESCO_UIS Database_Sep2007","Years","15",""
"Argentina","Male","2002","UNESCO_UIS Database_Sep2007","Years","16",""
"Argentina","Male","2001","UNESCO_UIS Database_Sep2007","Years","15",""
"Argentina","Male","2000","UNESCO_UIS Database_Sep2007","Years","15","1"
"Argentina","Male","1999","UNESCO_UIS Database_Sep2007","Years","14","1"
"Armenia","Female","2005","UNESCO_UIS Database_Sep2007","Years","11",""
